what,kind,bundleId,bundleVersion,description,time
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1337183533404
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1337183533404
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1337183533404
java.vm.specification.version,sysinfo,,,"1.0",1337183533404
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1337183533404
java.vm.version,sysinfo,,,"20.2-b06",1337183533404
started,bundle,com.instantiations.assist.eclipse.junit.editor,7.1.0.r36x201109091155,"com.instantiations.assist.eclipse.junit.editor",1337183537751
started,bundle,org.eclipse.jdt.apt.core,3.3.401.R36_v20100727-0110,"org.eclipse.jdt.apt.core",1337183541145
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1337183541188
started,bundle,org.eclipse.wst.dtd.core,1.1.400.v201004290328,"org.eclipse.wst.dtd.core",1337183541966
started,bundle,org.eclipse.wst.wsdl.validation,1.1.501.v201004201506,"org.eclipse.wst.wsdl.validation",1337183542248
started,bundle,org.eclipse.wst.xsd.core,1.1.502.v201008201521,"org.eclipse.wst.xsd.core",1337183542280
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1337183542332
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337183844136
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337183851347
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337183852242
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337183945066
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337183948392
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337184022660
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337184025953
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337184027160
started,bundle,org.eclipse.jst.servlet.ui,1.1.402.v201008261918,"org.eclipse.jst.servlet.ui",1337184029205
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1337184029432
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1337184029783
opened,editor,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1337184029953
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.1.v201008170101,"org.eclipse.wst.jsdt.debug.ui",1337184030264
activated,editor,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1337184030268
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337184035963
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337184039744
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1337184043326
